Datetime,Max_Demand_MW,Peak_Shortage_MW,Energy_Met_MU
2014-05-03,135355.0,4692.0,2904.2000000000003
2014-05-04,135474.0,4658.0,2886.3
2014-05-05,131300.0,3977.0,2821.0
2014-05-06,134523.0,5033.0,2858.8
2014-05-07,136726.0,4174.0,2939.3
2014-05-08,135615.0,4659.0,2906.9
2014-05-09,132793.0,2503.0,2830.6
2014-05-10,132032.0,4605.0,2825.1
2014-05-11,133580.82,4535.0,2831.4
2014-05-12,128769.0,3563.0,2773.9
2014-05-13,132416.0,6194.0,2865.7000000000003
2014-05-14,132104.0,5789.0,2817.7999999999997
2014-05-15,131780.78399999999,5163.0,2763.2
2014-05-16,133702.0,5918.0,2868.9
2014-05-17,136249.0,6947.0,2945.7
2014-05-18,134279.0,7463.0,2913.4
2014-05-19,129473.0,4714.0,2829.9
2014-05-20,135699.0,6770.0,2895.8
2014-05-21,136244.0,7234.0,2933.4
2014-05-22,137720.0,5615.0,2976.5
2014-05-23,139163.0,6124.0,3005.4
2014-05-24,138789.0,5617.0,2985.5
2014-05-25,134671.0,5485.0,2948.2
2014-05-26,131188.0,5130.0,2795.6
2014-05-27,134794.0,8648.0,2825.4
2014-05-28,136083.0,5047.0,2897.5
2014-05-29,135293.0,6315.0,2919.5
2014-05-30,137572.0,6533.0,2969.1
2014-05-31,138880.0,3552.0,2958.1
2014-06-01,136382.0,4557.0,2938.4
2014-06-02,265696.0,7964.0,5669.6
2014-06-03,134065.0,4638.0,2917.2
2014-06-04,136356.0,10436.0,2811.5
2014-06-05,139680.0,6936.0,3010.4
2014-06-06,141350.0,6086.0,3040.1
2014-06-07,142729.0,4510.0,3068.4
2014-06-08,140350.0,4727.0,3095.3
2014-06-09,138251.0,3946.0,3028.7
2014-06-10,142586.0,5825.0,3054.6
2014-06-11,144921.0,7397.0,3076.8
2014-06-12,143049.0,5887.0,3101.6
2014-06-13,143010.0,5683.0,3022.5
2014-06-14,139527.0,5306.0,2970.6
2014-06-15,139893.0,4818.0,2989.5
2014-06-16,135369.0,3506.0,2941.0
2014-06-17,284098.0,11058.0,6154.8
2014-06-18,141821.0,5787.0,3112.8
2014-06-19,141292.0,5375.0,3087.5
2014-06-20,142181.0,3583.0,3085.2
2014-06-21,142043.0,4247.0,3089.6
2014-06-22,142290.0,3954.0,3058.6
2014-06-23,138061.0,4021.0,2965.2
2014-06-24,142530.0,4624.0,3057.7
2014-06-25,144507.0,6262.0,3101.3
2014-06-26,143764.0,5688.0,3119.7
2014-06-27,143935.0,6973.0,3108.6
2014-06-28,143915.0,5990.0,3104.4
2014-06-29,144583.0,5209.0,3118.2
2014-06-30,140759.0,4673.0,3060.0
2014-07-01,290350.0,7816.0,6230.0
2014-07-02,144043.0,5374.0,3102.1
2014-07-03,141448.0,4828.0,3130.5
2014-07-04,143436.0,5882.0,3080.3
2014-07-05,144135.0,6473.0,3087.5
2014-07-06,143261.0,6639.0,3078.1
2014-07-07,138487.0,3767.0,3012.3
2014-07-08,142455.0,6052.0,3066.6
2014-07-09,143093.0,5811.0,3117.5
2014-07-10,142849.0,6475.0,3106.1
2014-07-11,282904.0,14298.0,6169.8
2014-07-12,142379.0,3861.0,3063.6
2014-07-13,140603.0,7631.0,3032.4
2014-07-14,138225.0,3650.0,2967.7
2014-07-15,140926.0,6088.0,3024.8
2014-07-16,139399.0,9228.0,3019.4
2014-07-17,138462.0,7470.0,2940.9
2014-07-18,139219.0,6910.0,2953.9
2014-07-19,268092.0,11096.0,5738.2
2014-07-20,133430.0,-1665.0,2860.8
2014-07-21,131105.0,4480.0,2821.7
2014-07-22,134364.0,6122.0,2909.9
2014-07-23,136461.0,5919.0,2906.7999999999997
2014-07-24,133792.0,-3171.0,2885.6
2014-07-25,134933.0,6057.0,2895.6
2014-07-26,136465.0,5611.0,2919.7
2014-07-27,135261.0,5461.0,2941.4
2014-07-28,132425.0,5179.0,2877.5
